Key,english,japanese
questHorseRanchMaybell3_offer,"[e7a729]Tsk tsk tsk. This house is just a mess. That's the problem with living on a ranch. Things get very dirty and dusty. See if you can find a broom in the barn. Clear out some of the dust bunnies in the house. They can be just about anywhere, so keep an eye out for when they appear![-]","[e7a729]はぁ...家が汚いわねぇ。\n牧場住まいだと、何でもすぐにホコリまみれになって困るわ。\n納屋の中にほうきがあるはずだから、見つけて来てくれないかしら?\n\n見つけたら、家の中の綿埃(ダストバニー)を見つけてはらってきて。\n\nホコリは家のどこにでも現れる可能性があるから、しっかり注意して見つけるのよ。\n(ほうきを見つけたら、破壊して回収してください。)[-]"

------------------Vincent-------------------
questHorseRanchVincent1,"[e7a729]Basic Defenses[-]","[e7a729]防衛の基本[-]"
questHorseRanchVincent1_offer,"[e7a729]Hello! Looks like horde night is getting closer. We're a little short on defenses, specifically iron arrows. If you have any spare, we definitly could use some. Bring some by next time you're in the area.[-]","[e7a729]こんにちは！\nホード日のための防衛準備を手伝ってくれるかい？\n鉄の矢が不足してるから、いくつかクラフトしてくれると助かる。[-]"

questHorseRanchVincent2,"[e7a729]Maybell's Defenses[-]","[e7a729]メイベルの防衛[-]"
questHorseRanchVincent2_offer,"[e7a729]Old Maybell has taken a liking to the crossbow. She never stands and runs, so reloading is no problem for her. But she's run out of bolts. Mostly due to her not being able to aim. If you could restock us with, say, 35 iron crossbow bolts, she might be able to take one or two zombies down on horde night.[-]","[e7a729]メイベルはクロスボウがお気に入りですが、エイムが酷すぎて、すぐボルトを切らしてしまいます。\n\n彼女のために鉄のクロスボウボルトを35本クラフトしてくれるかな？\nそれだけあれば、ゾンビ1体くらいは倒せるはずだ。[-]"

questHorseRanchVincent3,"[e7a729]A Slight Trap[-]","[e7a729]ちょっとした罠[-]"
questHorseRanchVincent3_offer,"[e7a729]Hey, friend. Last night I was scouting out a new area and came across a pretty horrific sight. It seems the undead are learning to ambush humans. Maybe they aren't as undead as we think. Since you seem to have a handle on protecting yourself, why don't you check it out for me? Here's the coordinates. Be careful and be ready. Let me know what happens.[-]","[e7a729]こんにちは。\n未探索エリアへ昨日行っていたんだけど、かなり酷い光景を目の当たりにした。\nゾンビたちがずいぶんと強化されたようなので、奴らとの闘いに慣れている君に頼みがある。\n\nこの場所の様子を見てくれないか?\n戻ったら、報告を頼む。[-]"

-------------------Unlocks------------------
questHorseRanchUnlockItem2,"[e7a729]A Deal with Vincent Pt. 7[-]","[e7a729]ヴィンセントとの取引Pt. 7[-]"
questHorseRanchUnlockItem2Desc,"[e7a729]Unlocked at Reputation: 50.\n\nCraft this and bring it back to Vincent to continue the quest line.[-]","[e7a729]必要な評判ポイント：　50\n\nこれをクラフトし、ヴィンセントに話しかけるとクエストを進行させることが出来ます。[-]"

questHorseRanchUnlock1,"[e7a729]A Deal with Vincent Pt. 1[-]","[e7a729]ヴィンセントとの取引Pt. 1[-]"
questHorseRanchUnlock1Desc,"[e7a729]Unlocked at Reputation: 25.\n\nCraft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]必要な評判ポイント：　25\n\nこのクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]"
questHorseRanchUnlock1_offer,"[e7a729]*After you became acquainted with everyone at Maybell's Ranch, Vincent comes up to you to have a word* Hey adventurer! I've been talking to Maybell. She says you've been helping us out around the ranch quite a bit. She told me to make a deal with you. If you bring me the materials and a bit of coin, I will teach you how to care for a horse of your own. First we'll get you set up with a saddle. Gather a bit of leather, cloth, some iron, and some duct tape. Bring it to me and we'll continue.[-]","[e7a729]こんにちは冒険者さん！\nメイベルと話していたんだが、牧場の皆が本当にお世話になっているようだね。\n君と1つ取引をしたいと思っているんだけど、良いかな？\n必要な材料とコインを引き換えに馬の扱い方を教えてあげよう。\n\nまずはサドルが必要だ。\n皮、布、鉄、そしてダクトテープを持って来てくれたら次のステップを教えるよ。[-]"

questHorseRanchUnlock2,"[e7a729]A Deal with Vincent Pt. 2[-]","[e7a729]ヴィンセントとの取引Pt. 2[-]"
questHorseRanchUnlock2Desc,"[e7a729]Craft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]このクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]"
questHorseRanchUnlock2_offer,"[e7a729]Excellent! Here are some plans for several saddle types. You'll need to be sure to use the correct color saddle for the specific color horse. Go ahead and choose one to get from the stable. You can take one from this stable or find another Maybells Farm and take one from there. Simply craft a saddle, walk up to a horse and left click. This will give you your own horse! Next step is finding a way to feed it. Instead of just repairing a horse like a vehicle, you can also feed it an apple to regenerate health. Keep an eye on the health while riding. Once you read the schematic for saddles, you are able to find apples from chopping any tree. So go find some apples and report back![-]","[e7a729]素晴らしい!\nいくつかのサドルのレシピ解放に必要な図をあげましょう。\nサドルの色と馬の色を合わせる必要があるので、間違えないでくださいね。\nここにいる馬の中から好きな色のを選んで良いですよ。\n欲しい馬と同じ色のサドルをクラフトし、サドルを手に持った状態で、馬に向かって左クリックを行います。\n\n馬は乗っていると徐々に体力が減るので、回復させるためには、リンゴを食べさせる必要があります。\nサドルの図を読むと、伐採時にリンゴがたまに入手出来るようになります。\n早速そこら辺の木を切り倒してリンゴを手に入れてみてください。[-]"

questHorseRanchUnlock3,"[e7a729]A Deal with Vincent Pt. 3[-]","[e7a729]ヴィンセントとの取引Pt. 3[-]"
questHorseRanchUnlock3Desc,"[e7a729]Craft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]このクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]"
questHorseRanchUnlock3_offer,"[e7a729]Nicely done. If your horse ever needs some health, just give it an apple. Remember, apples restore 1000 health each. Our daughter Abby has taken a liking to you. She said she wants to play with you, but is too shy to ask. Would you go play a game with her? It would make her very happy. Go talk to her and see what she wants to play. If I know her, it's a minigame. Good luck! There's no telling what her imagination will have in store for this minigame.[-]","[e7a729]いいね！\nリンゴを馬に食べさせると体力を1000回復させることが出来るからね。\n\nうちの娘のアビーが君とあそびたがってたよ。\nでも恥ずかしがり屋なので、話しかけることが出来ないらしい。\n本当に喜ぶと思うので、君の方から話しかけてやってくれないか？ \n多分、いつものミニゲームだとは思うけど、何して遊びたいか聞いて見てあげてくれ。[-]"

questHorseRanchUnlock4,"[e7a729]A Deal with Vincent Pt. 4[-]","[e7a729]ヴィンセントとの取引Pt. 4[-]"
questHorseRanchUnlock4Desc,"[e7a729]Craft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]このクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]"
questHorseRanchUnlock4_offer,"[e7a729]Oh... Hey! Um... did you come to play with me?? *Abby looks very excited as you tell her yes* Yay! Can we play Simon Says? That sounds like fun! But... I want to be the game leader. We can play it like we're at a faire! *Abby clears her throat* Ladiessss and gentlemennn! Come one, come all, to Abby Says! It's like Simon Says but all about ME! *Abby giggles, then looks at you* Oh.. umm you're missing a game token! No faire minigame just gives you a free play. Here, I'll help you out. *Abby digs around her pockets and pulls out a tiny piece of paper with nothing on it* This is a recipe for crafting a game token. Go make one and we'll be able to play![-]","[e7a729]えっと...こんにちは！\nえっと...もしかしてアビーとあそんでくれるの？\n<<とても嬉しそうなアビーに向けて頷きます>>\nわーい！　船長さんの命令しよー！　楽しいよ、ほんとに楽しいよ！\n私がリーダーでいい？\nそれじゃ、皆集まってー！　皆でアビーの命令ゲームするよー！\n<<私一人しかいないのに...ｗ>>\n\nあ、ゲームトークン持ってないのね、ゲームに参加するにwはトークンが必要なのよ。\n<<アビーがポケットの中からボロボロになった紙切れを取り出してあなたにわたします>>\nそれがトークンを作るために必要な図！　それを読んで、トークンをクラフトしてね！[-]"

questHorseRanchUnlock5,"[e7a729]A Deal with Vincent Pt. 5[-]","[e7a729]ヴィンセントとの取引Pt. 5[-]"
questHorseRanchUnlock5Desc,"[e7a729]Craft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]このクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]"
questHorseRanchUnlock5_offer,"[e7a729]You're back! Did you get a token? We can play now yay! Ok ok, gimme the token and I'll call out shapes or colors after about 10 seconds (Look at your buff stack to see the icon of what's being called out). You'll have only 5 seconds to run and stand on that block. If you get it right, we'll keep playing. If you get it wrong, you'll need another token to play. Get 10 points in a row and you'll get a +1 reputation.[-]","[e7a729]おかえりなさい！\n良かった、これで遊べるね！\nそれじゃ、私が10秒後くらいに形か色を言うからね。(指定された形や色は、あなたのバフのアイコンをご覧ください)\n5秒以内に、アビーが言った形とか色のブロックの上に立ってね！\n正解したら次のを言うね、でも失敗したら、またトークンを使わなきゃ遊べないよ。\n\n10回連続で成功すると評判が1上がります。[-]"

questHorseRanchUnlock6,"[e7a729]A Deal with Vincent Pt. 6[-]","[e7a729]ヴィンセントとの取引Pt. 6[-]"
questHorseRanchUnlock6Desc,"[e7a729]Craft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]このクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]"
questHorseRanchUnlock6_offer,"[e7a729]Did you play with Abby? She's a creative little girl isn't she? Well, if you will, keep her company a while. I need to talk with Maybell and Leah about something. I'll find you when we're ready for you again.[-]","[e7a729]アビーと遊んでくれたかい？\n本当に想像力豊かな子だよね。\n私はメイベルやリアと話があるから、君はもう少しの間アビーの相手をしてやってくれ。\n\n時が来たらまた話しかけるよ[-]"

questHorseRanchUnlock7,"[e7a729]A Deal with Vincent Pt. 7[-]","[e7a729]ヴィンセントとの取引Pt. 7[-]"
questHorseRanchUnlock7Desc,"[e7a729]Craft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]このクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]"
questHorseRanchUnlock7_offer,"[e7a729]Ah there you are. I've been meaning to talk to you. Maybell and Leah agree that we should allow you to train your horse on the obstacle course. Here, I'll give you the first ticket for free. Keep this with you and when you get 100 points in the obstacle course, bring it back to me.[-]","[e7a729]あ、いたいた、君に話があるんだ\nメイベルとリアと話していたんだが、ここの乗馬コースで君の馬の訓練をする事を許可する事になった。\n最初のチケットは無料であげるね。\n乗馬コースのポイントが100貯まったら、このチケットを持って、もう一度私に話しかけてくれ。[-]"

questHorseRanchUnlock8,"[e7a729]A Deal with Vincent Pt. 8[-]","[e7a729]ヴィンセントとの取引Pt. 8[-]"
questHorseRanchUnlock8Desc,"[e7a729]Craft and read this quest to begin learning how to care for a horse, as Vincent teaches you just what to do.[-]","[e7a729]このクエストをクラフトして読むと、ヴィンセントから馬の扱い方を教わることが出来ます。[-]"
questHorseRanchUnlock8_offer,"[e7a729]Wow you completed the course?? You seem like a natural to be able to control your horse that well. That ribbon can be used along with a horse of your choice to upgrade it to a tier 2 horse. This will consume the ribbon. You will need to craft a new ticket and complete the course again if you want to upgrade a different horse. You're off to be a real great horse trainer. You'd make us all proud. We're very grateful for you to come help us like you have. A special thank you from Maybell, Leah, Abby, and myself. Keep those horses in shape and we'll see you in another mod![-]","[e7a729]え、クリアしたの？\n素晴らしい手綱捌きだったよ。\nそのリボンと自分の馬を組み合わせると馬をグレードアップさせることが出来るよ。\nリボンは消耗品だから、別の馬をアップグレードするためには、またチケットをクラフトして、乗馬コースをクリアする必要があるからね。\n\n本当に素晴らしいトレーナーになりそうだ。\n牧場の手助けをたくさんしてくれてありがとう。\n\nメイベル、リア、アビー、そして私、皆本当に感謝してるよ、また次のModでお会いしましょう！[-]"
